Broker,Stock Symbol,Quantity,Amount,Average Rate
16,MDB,-570.0,-372450.0,653.421052631579
16,MEGA,1255.0,422124.0,336.35378486055777
16,MEGAPO,30956.0,3838544.0,124.0
16,MERO,20.0,28320.0,1416.0
16,MFIL,829.0,873049.0,1053.1351025331726
16,MHNL,2026.0,962149.0,474.90078973346493
16,MKJC,190.0,84764.0,446.12631578947367
16,MKLB,778.0,1446845.0,1859.69794344473
16,MLBBL,15.0,29775.0,1985.0
16,MLBL,-3822.0,-2795412.0,731.4003139717425
16,MMFDB,14.0,22260.0,1590.0
16,MNBBL,-2546.0,-1836164.0,721.1956009426551
16,MPFL,-50.0,-25750.0,515.0
16,MSLB,-46.0,-88042.0,1913.9565217391305
16,NABIL,1450.0,2249748.7,1551.550827586207
16,NBB,-5956.0,-1953785.5,328.03651779717933
16,NBL,-779.0,-353904.9,454.306675224647
16,NCCB,496.0,143968.0,290.258064516129
16,NFS,314.0,187526.0,597.2165605095541
16,NGPL,110.0,84650.0,769.5454545454545
16,NHDL,-110.0,-59780.0,543.4545454545455
16,NHPC,-1968.0,-836389.0,424.9944105691057
16,NIBSF2,1000.0,9500.0,9.5
16,NICA,-3802.0,-3141523.0,826.2816938453445
16,NICGF,100.0,1157.0,11.57
16,NICL,100.0,82840.0,828.4
16,NICLBSL,-281.0,-336611.0,1197.9039145907473
16,NICSF,600.0,5767.0,9.611666666666666
16,NIFRA,-1649.0,-591275.5,358.56610066707094
16,NIL,20.0,25202.0,1260.1
16,NLBBL,-641.0,-904698.4,1411.3859594383775
16,NLIC,1515.0,2460979.0,1624.4085808580858
16,NLICL,1200.0,1196750.0,997.2916666666666
16,NMB,630.0,249980.0,396.7936507936508
16,NMB50,13000.0,154680.0,11.898461538461538
16,NMBMF,0.0,-40.0,-inf
16,NMFBS,-463.0,-1583910.0,3420.9719222462204
16,NRIC,-172.0,-238390.0,1385.9883720930231
16,NRN,971.0,680931.2,701.2679711637487
16,NSLB,181.0,244678.1,1351.8127071823205
16,NTC,-85.0,-98800.0,1162.3529411764705
16,NUBL,-400.0,-610490.0,1526.225
16,PCBL,-992.0,-465857.5,469.61441532258067
16,PFL,148.0,94531.0,638.722972972973
16,PIC,1282.0,1328898.0,1036.581903276131
16,PICL,-200.0,-139050.0,695.25
16,PLI,170.0,102666.0,603.9176470588235
16,PLIC,-100.0,-88600.0,886.0
16,PMHPL,-10.0,-3170.0,317.0
16,PROFL,500.0,213100.0,426.2
16,PRVU,210.0,77730.0,370.14285714285717
16,PSF,350.0,3311.0,9.46
16,RADHI,158.0,106634.8,674.9037974683545
16,RBCL,10.0,185640.0,18564.0
16,RBCLPO,-30.0,-409500.0,13650.0
16,RHPL,-2030.0,-767988.0,378.3192118226601
16,RLFL,1525.0,866160.0,567.9737704918033
16,RLI,-40.0,-20934.0,523.35
16,RMDC,3227.0,4715207.0,1461.173535791757
16,RMF1,1200.0,11460.0,9.55
16,RSDC,130.0,111190.0,855.3076923076923
16,RURU,-10.0,-10250.0,1025.0
16,SABSL,-55.0,-113300.0,2060.0
16,SADBL,275.0,112650.0,409.6363636363636
16,SAHAS,-500.0,-356393.0,712.786
16,SANIMA,480.0,185095.0,385.6145833333333
16,SAPDBL,985.0,400940.0,407.0456852791878
16,SBCF,800.0,7608.0,9.51
16,SBI,285.0,100273.0,351.83508771929826
16,SBL,280.0,139170.0,497.0357142857143
16,SCB,-21.0,-10857.0,517.0
16,SFCL,240.0,124100.0,517.0833333333334
16,SFMF,-1635.0,-18392.0,11.248929663608562
16,SHEL,353.0,151222.0,428.39093484419266
16,SHINE,5570.0,2928137.0,525.6978456014363
16,SHIVM,-35.0,-47565.0,1359.0
16,SHL,-200.0,-47000.0,235.0
16,SHPC,1036.0,435192.0,420.0694980694981
16,SICL,-200.0,-348900.0,1744.5
16,SIFC,-1650.0,-865423.2,524.498909090909
16,SIL,-169.0,-161256.0,954.1775147928994
16,SINDU,770.0,343580.0,446.2077922077922
16,SJCL,-860.0,-325282.0,378.2348837209302
16,SKBBL,-390.0,-668908.0,1715.148717948718
16,SLBBL,100.0,117200.0,1172.0
16,SLCF,200.0,1921.0,9.605
16,SLI,100.0,52373.0,523.73
16,SMATA,70.0,102650.0,1466.4285714285713
16,SMB,100.0,235200.0,2352.0
16,SMFBS,14.0,36960.0,2640.0
16,SMFDB,-110.0,-163170.0,1483.3636363636363
16,SPDL,2664.0,1262620.0,473.95645645645646
16,SRBL,-2415.0,-698954.0,289.42194616977224
16,SSHL,-448.0,-161038.0,359.45982142857144
16,STC,10.0,67690.0,6769.0
16,SWBBL,20.0,30622.0,1531.1
16,TPC,-30.0,-14499.0,483.3
16,TRH,-511.0,-184038.0,360.1526418786693
16,UIC,-50.0,-36700.0,734.0
16,ULI,-150.0,-95659.0,637.7266666666667
16,UMHL,7500.0,3591588.3,478.87843999999996
16,UNHPL,20.0,7640.0,382.0
16,UPCL,-3402.0,-1411351.6,414.8593768371546
16,UPPER,-4460.0,-2618117.0,587.0217488789237
16,USLB,-12.0,-27120.0,2260.0
16,VLBS,-526.0,-881539.8,1675.9311787072245
17,ACLBSL,100.0,142900.0,1429.0
17,ADBL,163.0,82555.70000000001,506.4766871165645
17,AHPC,2357.0,1169906.7,496.35413661434023
17,AIL,-350.0,-252710.0,722.0285714285715
17,AKJCL,-90.0,-31360.0,348.44444444444446
17,AKPL,893.0,550397.0,616.3460246360582
17,ALICL,-1400.0,-1799500.0,1285.357142857143
17,API,-1976.0,-1013532.3,512.9212044534413
17,BARUN,-125.0,-58245.0,465.96
17,BFC,105.0,58450.0,556.6666666666666
17,BNT,-50.0,-615214.0,12304.28
17,BOKL,783.0,256840.3,328.0208173690932
17,BPCL,249.0,126214.0,506.8835341365462
17,CBBL,-1599.0,-2756250.0,1723.733583489681
17,CBL,-282.0,-67786.8,240.37872340425534
17,CCBL,-2081.0,-476115.6,228.79173474291204
17,CFCL,301.0,174730.0,580.4983388704319
17,CGH,-25.0,-38850.0,1554.0
17,CHCL,-584.0,-352328.8,603.3027397260274
17,CHDC,-10.0,-8870.0,887.0
17,CHL,100.0,49600.0,496.0
17,CIT,-8.0,-26710.0,3338.75
17,CLBSL,80.0,93405.0,1167.5625
17,CMF1,1000.0,9290.0,9.29
17,CORBL,-10.0,-8250.0,825.0
17,CZBIL,-717.0,-208677.5,291.04253835425385
17,DDBL,-105.0,-133875.0,1275.0
17,DHPL,-128.0,-42037.2,328.415625
17,EBL,-628.0,-394265.4,627.8111464968154
17,EDBL,100.0,63300.0,633.0
17,EIC,400.0,283590.0,708.975
17,FMDBL,-60.0,-54480.0,908.0
17,FOWAD,-386.0,-1074246.3,2783.0215025906737
17,GBBL,6621.0,4112335.5999999996,621.1049086240748
17,GBIME,-648.0,-238535.5,368.11033950617286
17,GBLBS,438.0,460140.0,1050.5479452054794
17,GFCL,-650.0,-536469.0,825.3369230769231
17,GHL,-87.0,-31320.0,360.0
17,GIC,270.0,166167.0,615.4333333333333
17,GIMES1,5000.0,104850.0,20.97
17,GLH,20.0,9525.0,476.25
17,GLICL,722.0,424955.0,588.5803324099722
17,GMFBS,200.0,309100.0,1545.5
17,GMFIL,1200.0,652950.0,544.125
17,GUFL,-720.0,-607360.0,843.5555555555555
17,HDHPC,-8244.0,-2738258.0,332.1516254245512
17,HDL,44.0,302271.0,6869.795454545455
17,HGI,260.0,184740.0,710.5384615384615
17,HIDCL,-29296.0,-9433086.100000001,321.99228904969965
17,HPPL,1090.0,529490.0,485.77064220183485
17,HURJA,35.0,17035.0,486.7142857142857
17,ICFC,745.0,653815.0,877.6040268456376
17,IGI,-740.0,-740575.0,1000.777027027027
17,ILBS,-116.0,-199464.0,1719.5172413793102
17,JBBL,14656.0,8498581.7,579.8704762554585
17,JBLB,-40.0,-178610.0,4465.25
17,JFL,-850.0,-623487.5,733.5147058823529
17,JLI,600.0,353478.0,589.13
17,JOSHI,-40.0,-14048.0,351.2
17,JSLBB,-4.0,-12501.900000000001,3125.4750000000004
17,KBL,515.0,134100.0,260.3883495145631
17,KKHC,-20.0,-7040.0,352.0
17,KMCDB,181.0,244236.0,1349.3701657458564
17,KPCL,-100.0,-62358.0,623.58
17,KRBL,-460.0,-213430.0,463.9782608695652
17,KSBBL,-2125.0,-1303449.5,613.388
17,LBBL,-6009.0,-3941814.5,655.985105674821
17,LBL,-200.0,-63400.0,317.0
17,LEC,80.0,28781.0,359.7625
17,LEMF,-5000.0,-48000.0,9.6
17,LGIL,-100.0,-73100.0,731.0
17,LICN,1288.0,2571852.0,1996.77950310559
17,LLBS,-411.0,-803560.0,1955.1338199513382
17,MBL,-1100.0,-353200.0,321.09090909090907
17,MDB,1100.0,709420.0,644.9272727272727
17,MEGA,-210.0,-70660.0,336.4761904761905
17,MEN,-3025.0,-3494909.0,1155.341818181818
17,MERO,42.0,60004.90000000002,1428.6880952380957
17,MFIL,200.0,210220.0,1051.1
17,MHNL,-20.0,-9010.0,450.5
17,MKJC,370.0,167790.0,453.4864864864865
17,MKLB,-20.0,-37210.0,1860.5
17,MLBBL,-50.0,-99450.0,1989.0
17,MLBL,226.0,170233.1000000001,753.243805309735
17,MMFDB,-11.0,-17600.0,1600.0
17,MNBBL,-105.0,-80990.0,771.3333333333334
17,MPFL,-100.0,-50800.0,508.0
17,NABBC,-40.0,-30753.0,768.825
17,NABIL,1400.0,2167015.0,1547.8678571428572
17,NBB,1200.0,390875.0,325.7291666666667
17,NBL,3090.0,1390118.0,449.87637540453073
17,NCCB,1011.0,295625.7,292.4091988130564
17,NFS,-200.0,-118100.0,590.5
17,NGPL,795.0,612105.0,769.9433962264151
17,NHPC,5950.0,2529966.9,425.20452100840333
17,NIBSF2,-5000.0,-47500.0,9.5
17,NICA,88.0,72650.0,825.5681818181819
17,NICBF,500.0,5300.0,10.6
17,NICL,-20.0,-16502.0,825.1
17,NICLBSL,470.0,562720.0,1197.276595744681
17,NICSF,-200.0,-1890.0,9.45
17,NIFRA,715.0,257240.0,359.7762237762238
17,NIL,-182.0,-229502.5,1261.0027472527472
17,NLBBL,10.0,14060.0,1406.0
17,NLG,-700.0,-654000.0,934.2857142857143
17,NLIC,-5045.0,-8142851.0,1614.0438057482656
17,NMB,237.0,93982.0,396.54852320675104
17,NMFBS,-132.0,-449619.0,3406.2045454545455
17,NRIC,290.0,402029.0,1386.306896551724
17,NRN,-1242.0,-886400.0,713.6876006441224
17,NTC,-4500.0,-5255147.5,1167.8105555555555
17,NUBL,-6050.0,-9245303.0,1528.149256198347
17,OHL,-6190.0,-3122660.0,504.4684975767367
17,PCBL,-919.0,-431505.8,469.53841131664853
17,PFL,-1073.0,-681413.0,635.0540540540541
17,PIC,46.0,47380.0,1030.0
17,PICL,0.0,-4390.0,-inf
17,PLI,-40.0,-24081.0,602.025
17,PLIC,-500.0,-450000.0,900.0
17,PMHPL,-6.0,-2435.0,405.8333333333333
17,PPCL,770.0,394900.0,512.8571428571429
17,PRIN,50.0,40070.0,801.4
17,PROFL,-348.0,-148560.0,426.8965517241379
17,PRVU,-11955.0,-4358305.0,364.5591802593057
17,PSF,-200.0,-1916.0,9.58
17,RADHI,-4938.0,-3310586.2,670.430579181855
17,RBCLPO,220.0,2993990.0,13609.045454545454
17,RHPL,-7480.0,-2853968.0,381.54652406417114
17,RLFL,-830.0,-469539.69999999995,565.7104819277108
17,RLI,1050.0,546247.0,520.2352380952381
17,RMDC,10.0,14827.0,1482.7
17,RMF1,1500.0,14250.0,9.5
17,RSDC,223.0,191977.0,860.8834080717489
17,RURU,10.0,10350.0,1035.0
17,SADBL,-935.0,-393296.0,420.6374331550802
17,SAHAS,-470.0,-331391.0,705.0872340425532
17,SANIMA,-1353.0,-519309.0,383.82039911308203
17,SAPDBL,2150.0,885678.8,411.94362790697676
17,SBCF,300.0,2817.0,9.39
17,SBL,-4063.0,-2012365.1,495.2904504061039
17,SCB,-81.0,-41916.0,517.4814814814815
17,SFCL,2043.0,1060577.5,519.1275085658345
17,SGI,450.0,270750.0,601.6666666666666
17,SHEL,80.0,34045.0,425.5625
17,SHINE,6113.0,3269992.0,534.9242597742516
17,SHIVM,-30.0,-40190.0,1339.6666666666667
17,SHL,-4375.0,-1010446.0,230.95908571428572
17,SHPC,-13583.0,-5702918.6,419.85707133917396
17,SIC,-50.0,-64500.0,1290.0
17,SICL,389.0,677856.9,1742.5627249357326
